algorithm,source_file,task_id,round_raw,round_id,train_loss,test_loss,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
DeNICE,denice_eval_5seed_summary.csv,0,0,0,1.588217362802188,1.2431320912241937,0.5660535287912096,0.1628703189218242,0.2007338464260944,0.1436365471195301,0.5153185456450682
DeNICE,denice_eval_5seed_summary.csv,0,1,1,0.8519457565858579,1.246727436631918,0.6236266560561575,0.2433864936576815,0.2726597887855562,0.2276455421876033,0.5784892078660109
DeNICE,denice_eval_5seed_summary.csv,0,2,2,0.7095624330930668,1.2023230682313444,0.7179075794743252,0.2681185887920019,0.3141063555314981,0.2595083806179317,0.6927489903773355
DeNICE,denice_eval_5seed_summary.csv,0,3,3,0.6437499362586863,1.2227709641754627,0.7785168911196301,0.2893375920808738,0.3319045285261244,0.2794595422726684,0.7510052265981059
DeNICE,denice_eval_5seed_summary.csv,0,4,4,0.6153475826358835,1.297492896080017,0.8034127365017275,0.3028733133328461,0.3450005536716063,0.2959393465318521,0.7723743204873001
DeNICE,denice_eval_5seed_summary.csv,0,5,5,0.6052482424349974,1.347760325819254,0.7790095801731721,0.2950144008321717,0.3534334359281567,0.2932724602209716,0.7510475513719863
DeNICE,denice_eval_5seed_summary.csv,0,6,6,0.5942722475316896,1.469738874912262,0.7720323078920934,0.2989964525534386,0.3614394441163556,0.2987149085809667,0.7439560029374007
DeNICE,denice_eval_5seed_summary.csv,0,7,7,0.5830782691720299,1.5230260703116656,0.7600289033891633,0.2963730657934127,0.3659389275382251,0.2947832846973143,0.7254566702579515
DeNICE,denice_eval_5seed_summary.csv,0,8,8,0.5678651122845642,1.5995960317999125,0.7633323089854382,0.2923489536149657,0.3678357483002096,0.3002790834348545,0.7289591821161147
DeNICE,denice_eval_5seed_summary.csv,0,9,9,0.5586128314501289,1.700936811223626,0.7627972836548438,0.2889210402158775,0.363384910612739,0.2969796007795832,0.7271365118899842
DeNICE,denice_eval_5seed_summary.csv,0,10,10,0.5520372713478632,1.7767198188155888,0.7619908500446022,0.2925825439179715,0.3667039862711508,0.2988595536266948,0.7287755800263693
DeNICE,denice_eval_5seed_summary.csv,0,11,11,0.5416900993917553,1.9531253510564568,0.7606640254197007,0.2947516201828262,0.3656207710816158,0.3011484841440273,0.7299365356372772
DeNICE,denice_eval_5seed_summary.csv,0,12,12,0.5576256809564013,1.979069497063756,0.7507611727698991,0.2949433898983807,0.3628139539620069,0.2968548806944465,0.7201654167359688
DeNICE,denice_eval_5seed_summary.csv,0,13,13,0.5292123412598522,2.0701904334425927,0.7507206534710377,0.2891057455972044,0.3621545878308286,0.2953068127471647,0.7197200081512496
DeNICE,denice_eval_5seed_summary.csv,0,14,14,0.5504364619190099,2.1533142343461518,0.7499942711115571,0.2892433660965641,0.3619381124417123,0.2950821965469665,0.7192997760944573
DeNICE,denice_eval_5seed_summary.csv,0,15,15,0.561745079406654,2.2622279594540595,0.7483281720010722,0.2869575241739911,0.3606943839834885,0.2947586336608744,0.7157298501321148
DeNICE,denice_eval_5seed_summary.csv,0,16,16,0.5595021957578218,2.3742064210027456,0.7480455237793409,0.287525687249269,0.3608936046538675,0.2957862858895216,0.7145873400409767
DeNICE,denice_eval_5seed_summary.csv,0,17,17,0.5673590419782721,2.4529405483156443,0.747378695821972,0.2870771053608959,0.3608673247693857,0.2946300175262818,0.7145352779562026
DeNICE,denice_eval_5seed_summary.csv,0,18,18,0.5751109107018874,2.4846813175082207,0.7483901672731156,0.2901493341608933,0.3634857841549287,0.2978616606007308,0.7159554095287983
DeNICE,denice_eval_5seed_summary.csv,0,19,19,0.5800930372893124,2.5042809601575136,0.7484135995291289,0.2873710671210517,0.3618949675506145,0.2958656557477868,0.7146238917733351
DeNICE,denice_eval_5seed_summary.csv,1,0,0,0.3062923241309753,21.83784164724339,0.5456788525635652,0.2421373864714364,0.2938794002757301,0.2232102824556516,0.4878209405251404
DeNICE,denice_eval_5seed_summary.csv,1,1,1,0.0425658361196815,10.209565450260117,0.6562666861283265,0.2730953580322814,0.3451106701717424,0.2698740187144149,0.5989667889397461
DeNICE,denice_eval_5seed_summary.csv,1,2,2,0.0272662283490362,9.459256663755982,0.6826031622872535,0.2912803320545649,0.3566827700579652,0.2840672802087988,0.6261346777425472
DeNICE,denice_eval_5seed_summary.csv,1,3,3,0.0272862622985666,10.646100081105674,0.6992344014422651,0.2906950278150711,0.3625375329520569,0.2896699016928467,0.6442107302481876
DeNICE,denice_eval_5seed_summary.csv,1,4,4,0.0278950729929808,10.752518837762532,0.7086254059423123,0.293839059053792,0.3708140497044687,0.2962748708640623,0.6554363251041538
DeNICE,denice_eval_5seed_summary.csv,1,5,5,0.0290109519835834,12.113897952927283,0.7008312885816581,0.2953734462578947,0.3692825487142239,0.2942365552671028,0.6479087147834648
DeNICE,denice_eval_5seed_summary.csv,1,6,6,0.0298347802756017,11.685193059891104,0.7057779965758831,0.3001033497458678,0.3688320349717379,0.2951348462396344,0.6514203399305133
DeNICE,denice_eval_5seed_summary.csv,1,7,7,0.0306263222545846,11.887410675617463,0.711231094206104,0.2999266542549067,0.3725604405982539,0.2975770419004819,0.6601625126958984
DeNICE,denice_eval_5seed_summary.csv,1,8,8,0.0279943849451065,12.240738448727566,0.7099676709023788,0.3008633244694824,0.3722844955068682,0.2976189430813742,0.6587624929296597
DeNICE,denice_eval_5seed_summary.csv,1,9,9,0.0265312705810368,11.811263171150866,0.7274292641423776,0.3067002843347371,0.3818414359853551,0.3053907562356674,0.677505609651132
DeNICE,denice_eval_5seed_summary.csv,1,10,10,0.0580965580212359,12.25078647777408,0.7208110771504712,0.3081750106633524,0.3799827397073797,0.3048803378425972,0.6712693375145975
DeNICE,denice_eval_5seed_summary.csv,1,11,11,0.0637597921678373,12.654610547376317,0.7218810493368794,0.3066982647631777,0.3809641747462132,0.3033385826528288,0.6724074161159022
DeNICE,denice_eval_5seed_summary.csv,1,12,12,0.0662034998020348,12.38558171378556,0.7254535061052387,0.3087822832613507,0.3832509032399982,0.3066982108942011,0.6767393886982529
DeNICE,denice_eval_5seed_summary.csv,1,13,13,0.0660737733994489,12.154690404561263,0.7268550891680978,0.3092723959071478,0.3841257791270853,0.306418437265715,0.677402455866878
DeNICE,denice_eval_5seed_summary.csv,1,14,14,0.0659319349354063,12.559356706616324,0.7249642297030735,0.3094295895223085,0.3828284606206372,0.304539321856407,0.6749716010289317
DeNICE,denice_eval_5seed_summary.csv,1,15,15,0.0658334443802365,12.33683148475135,0.729288617189878,0.3102432127598927,0.3865862339599782,0.3080533011070804,0.6799735313361446
DeNICE,denice_eval_5seed_summary.csv,1,16,16,0.0657369999942729,12.772576801336497,0.7174303375332608,0.3034233650562314,0.3762206923583003,0.2982594245126447,0.6659247055234192
DeNICE,denice_eval_5seed_summary.csv,1,17,17,0.0594981342704584,13.162123667936182,0.7191720058450193,0.3055799457159499,0.3786995411862086,0.3008377048404372,0.6702154380334859
DeNICE,denice_eval_5seed_summary.csv,1,18,18,0.0583244982751357,13.11688454164462,0.7187141425849569,0.3045569522518958,0.3790110089430548,0.2999663317021984,0.6695458010432125
DeNICE,denice_eval_5seed_summary.csv,1,19,19,0.0577242725076463,13.072161548289577,0.7226041256341644,0.3076138778709683,0.3815275216042903,0.3029609146022464,0.674300372951262
DeNICE,denice_eval_5seed_summary.csv,2,0,0,1.5249000681604483,53.26951439007132,0.3856040344347637,0.191658446291379,0.2424673607954091,0.1650574145578993,0.3001708682531584
DeNICE,denice_eval_5seed_summary.csv,2,1,1,0.6115963198557728,57.099407222726406,0.3871062292199089,0.1916878082448875,0.2475875520739973,0.1636266380023821,0.2915334229820842
DeNICE,denice_eval_5seed_summary.csv,2,2,2,0.5381959041954659,60.11914607679624,0.3749850131110224,0.193845883717641,0.2513716642281119,0.1613784045703137,0.2831191948777041
DeNICE,denice_eval_5seed_summary.csv,2,3,3,0.5400477735144359,57.889587173840106,0.3951174491465539,0.2067120841329795,0.2647933784258284,0.1724896215635047,0.3001846856417826
DeNICE,denice_eval_5seed_summary.csv,2,4,4,0.5498289293229751,59.96914841872903,0.3842763581903872,0.1961651376080308,0.2587775746025587,0.1651896796364328,0.2815473199051107
DeNICE,denice_eval_5seed_summary.csv,2,5,5,0.5587012991422837,58.85641549962505,0.3939175685355917,0.2092094549693964,0.268709319765907,0.1730824802654774,0.2983654152417668
DeNICE,denice_eval_5seed_summary.csv,2,6,6,0.6020462495689437,55.7225217525298,0.4091955685777046,0.209247208167067,0.270701872870831,0.1766815050950059,0.3156466650703114
DeNICE,denice_eval_5seed_summary.csv,2,7,7,0.6403423042264154,59.15340378644273,0.3964724036836108,0.2052710897951062,0.269615060369361,0.1731911511427537,0.2977631560705366
DeNICE,denice_eval_5seed_summary.csv,2,8,8,0.6915729263292434,57.78399826857951,0.4045692230233021,0.2088664641020084,0.2740237131440786,0.1796233231277153,0.3095704591702627
DeNICE,denice_eval_5seed_summary.csv,2,9,9,0.6307891751193733,57.68769795892602,0.4113657493079728,0.2086124032758881,0.2787548282424379,0.1818381012833001,0.3149499718809531
DeNICE,denice_eval_5seed_summary.csv,2,10,10,0.6186373275715347,58.421550239385134,0.4073966182552752,0.2074845492812696,0.2748793862386597,0.1787525640463461,0.3132067852766115
DeNICE,denice_eval_5seed_summary.csv,2,11,11,0.6321576111325806,56.029251119945386,0.4268508066550113,0.2140769685208813,0.2835284203005896,0.1868322860088792,0.3304622030341548
DeNICE,denice_eval_5seed_summary.csv,2,12,12,0.634739005467354,56.7756364290124,0.4194740324429102,0.2156932461075612,0.2808596219578111,0.1865249647680491,0.3273021802713275
DeNICE,denice_eval_5seed_summary.csv,2,13,13,0.643327131660585,56.52508325035109,0.4215638014498146,0.2172414141852974,0.2819089225751251,0.1870985668588014,0.3302594279793674
DeNICE,denice_eval_5seed_summary.csv,2,14,14,0.6495394906140647,56.60120951986507,0.4168109199684224,0.2132778591636471,0.2815376239736848,0.1853756013757131,0.3274753351522144
DeNICE,denice_eval_5seed_summary.csv,2,15,15,0.6666759301920149,56.82199337252416,0.4216013485300145,0.2128844298998712,0.282734732070163,0.1859830634897078,0.3273493626912567
DeNICE,denice_eval_5seed_summary.csv,2,16,16,0.6557386563451992,56.632926194850825,0.4231168879676968,0.2161109165663647,0.2842401615703507,0.1888042273361228,0.3305867985424166
DeNICE,denice_eval_5seed_summary.csv,2,17,17,0.6635502003850132,57.33385324791397,0.4175362622257648,0.2160186371716539,0.2818277947503841,0.1857174658723414,0.3245245726534079
DeNICE,denice_eval_5seed_summary.csv,2,18,18,0.6649804542120202,56.91855069771007,0.4215631466577455,0.2168223688567946,0.283297791437486,0.1868269536195526,0.3296156474787186
DeNICE,denice_eval_5seed_summary.csv,2,19,19,0.6680274794567488,57.251836916140704,0.4201314033656591,0.217015642326794,0.2844762795991419,0.1890801282565901,0.3300268320810032
DeNICE,denice_eval_5seed_summary.csv,3,0,0,1.983234255689177,72.40423143940909,0.2512998302277444,0.1443274261463549,0.1931475404513599,0.1137324678833647,0.1770033355179058
DeNICE,denice_eval_5seed_summary.csv,3,1,1,0.6847752072077518,75.15388041081661,0.2452737664268246,0.140436572513314,0.1975325091505432,0.112822066791889,0.1672365579177928
DeNICE,denice_eval_5seed_summary.csv,3,2,2,0.5647001057739249,75.70857051314593,0.2447278709730826,0.1445255522547349,0.2026007232773312,0.1116971572477494,0.1623344974473412
DeNICE,denice_eval_5seed_summary.csv,3,3,3,0.5248003861414546,75.6384335421046,0.2511166846202461,0.1474599094451793,0.2084143600003926,0.1175370171964949,0.1694703305076743
DeNICE,denice_eval_5seed_summary.csv,3,4,4,0.5310135167009051,75.16000210056822,0.2554140343727157,0.1501577118606681,0.2106016047699073,0.1192750773416255,0.1737416557675158
DeNICE,denice_eval_5seed_summary.csv,3,5,5,0.5356651230192557,75.78141636517833,0.2527049078588259,0.1511141155076064,0.2069929556929731,0.1169994953974578,0.1704749982177569
DeNICE,denice_eval_5seed_summary.csv,3,6,6,0.5399001590343349,75.77917592686681,0.2552051265852763,0.1509649267551905,0.2113503236313138,0.1194510539244712,0.1730449878795275
DeNICE,denice_eval_5seed_summary.csv,3,7,7,0.5420323056454134,76.33191356286285,0.2514245135501272,0.1517592940868281,0.2108455250156883,0.1189513429254378,0.1693226985603721
DeNICE,denice_eval_5seed_summary.csv,3,8,8,0.5453812905629463,76.76987046852064,0.2484449486857701,0.1499745798725777,0.2094701323419218,0.1178376341070073,0.166568843738287
DeNICE,denice_eval_5seed_summary.csv,3,9,9,0.5545251582022173,76.72985790422588,0.2509491286368021,0.1534930916845717,0.2117702610779107,0.1196370587374123,0.1701094885516905
DeNICE,denice_eval_5seed_summary.csv,3,10,10,0.5510038866303033,76.63653650214772,0.2521229646075354,0.152241061539108,0.2112303337053933,0.11844019480557,0.1694512040219595
DeNICE,denice_eval_5seed_summary.csv,3,11,11,0.5578503859974634,77.00744554547654,0.2483976000490882,0.1556374551498238,0.2134930578328622,0.1213454097448874,0.1680963302896962
DeNICE,denice_eval_5seed_summary.csv,3,12,12,0.5480030706350801,76.0636850783072,0.256235045007588,0.1545690945102538,0.216011952493956,0.123791344502767,0.1751335490679844
DeNICE,denice_eval_5seed_summary.csv,3,13,13,0.5312659413409146,76.24697407667146,0.2593427517213433,0.1561447323973822,0.2186776285947766,0.1253583266750374,0.1781731664132353
DeNICE,denice_eval_5seed_summary.csv,3,14,14,0.5325837629034644,76.75749291928531,0.2599421949837708,0.1565047117416861,0.219667225852184,0.1266109276870256,0.1784164298525318
DeNICE,denice_eval_5seed_summary.csv,3,15,15,0.5365359051066498,77.2454946503052,0.2551828056253325,0.1577131192264026,0.2177252120590526,0.1255152398253923,0.1757556009184044
DeNICE,denice_eval_5seed_summary.csv,3,16,16,0.5364348574067679,76.85671952830424,0.2548000303500031,0.1581725371343322,0.2173034850558696,0.1255699767748271,0.1771564589717607
DeNICE,denice_eval_5seed_summary.csv,3,17,17,0.5427644258377564,76.89505263875657,0.2590905401438763,0.1574552953306997,0.2205528685291878,0.127223769399765,0.1794668403931126
DeNICE,denice_eval_5seed_summary.csv,3,18,18,0.5390299770073261,77.43443851183271,0.2559855169998626,0.1584557435246657,0.2185781375046631,0.1267474014250168,0.1780921993548884
DeNICE,denice_eval_5seed_summary.csv,3,19,19,0.5423507962138729,76.89160886575459,0.2597018762075506,0.1578617602583055,0.2205224925783265,0.1272023222920345,0.1796756526467382
DeNICE,denice_eval_5seed_summary.csv,4,0,0,5.060946788467708,80.02778141679526,0.219929515103944,0.1268338049016109,0.1724637521816507,0.0939115897130685,0.1517841866403037
DeNICE,denice_eval_5seed_summary.csv,4,1,1,4.023090162644922,76.62812634582113,0.2485106111955849,0.1355067346509239,0.1888967789027734,0.1098398698786042,0.1775047092414591
DeNICE,denice_eval_5seed_summary.csv,4,2,2,3.391094164109788,78.5042412641179,0.2322280161136515,0.1327468461235529,0.1799996082745487,0.1031831599920723,0.1638157741150171
DeNICE,denice_eval_5seed_summary.csv,4,3,3,3.209514620632808,78.37856984701773,0.2300087167236247,0.1342467029714485,0.1824763508538899,0.1057754389994427,0.1626625965281709
DeNICE,denice_eval_5seed_summary.csv,4,4,4,3.1474047517527035,78.29822724055425,0.2313344815308045,0.133367685290471,0.1836162336108852,0.104832232919755,0.1631983351695587
DeNICE,denice_eval_5seed_summary.csv,4,5,5,3.101184868548512,79.01522169934692,0.2255299507354179,0.1308121881017594,0.182640330805137,0.1029845907429996,0.1589819950517736
DeNICE,denice_eval_5seed_summary.csv,4,6,6,3.036568767071885,78.27628979013996,0.2264218792403048,0.1296422274571013,0.1813183738916576,0.1022559604874496,0.1602283291927047
DeNICE,denice_eval_5seed_summary.csv,4,7,7,3.0665991350102293,78.44329641102331,0.2282679370221064,0.1315773888940914,0.1836395071515508,0.1038711066916122,0.1625656458797579
DeNICE,denice_eval_5seed_summary.csv,4,8,8,3.121311165360577,77.84729612240817,0.2329399764879816,0.1315350696430975,0.1847502112370856,0.1043474580764873,0.164940411364291
DeNICE,denice_eval_5seed_summary.csv,4,9,9,3.15473498991654,78.7169710967086,0.2274557046904194,0.1314665556110886,0.1853586374353063,0.1043654015490553,0.1614880511127623
DeNICE,denice_eval_5seed_summary.csv,4,10,10,3.1696243480195605,79.03311244375513,0.2246016634606738,0.131081122627344,0.1841016956339896,0.1030883650478113,0.1583027640658056
DeNICE,denice_eval_5seed_summary.csv,4,11,11,3.16748469724022,79.027481209761,0.2256409166147536,0.1311454062062335,0.1850508826138302,0.1027954107743168,0.1574911555196577
DeNICE,denice_eval_5seed_summary.csv,4,12,12,3.154761975589372,79.29150037056715,0.2239971263471571,0.129749893164726,0.1855776963297352,0.1026638617098023,0.1576921806798326
DeNICE,denice_eval_5seed_summary.csv,4,13,13,3.161171042302528,78.41671169779559,0.2326449492771706,0.1368959497672345,0.1920254753378425,0.1091817348585558,0.1641567077172252
DeNICE,denice_eval_5seed_summary.csv,4,14,14,3.010382128377328,78.78575290604476,0.2302530833976699,0.1331082397979766,0.189157323443457,0.1057499569203334,0.1618344868028754
DeNICE,denice_eval_5seed_summary.csv,4,15,15,2.970038115250603,79.09758204111509,0.2240343074321471,0.1313496052418055,0.1843897137416855,0.1028787015305515,0.15520518338255
DeNICE,denice_eval_5seed_summary.csv,4,16,16,3.10635000517148,78.51417356175543,0.2299379787176504,0.1380713303406307,0.189300203301626,0.1076068946923819,0.1633144384053448
DeNICE,denice_eval_5seed_summary.csv,4,17,17,2.998294868965505,79.31861728918742,0.2247347312379503,0.133363179910647,0.1858785024844826,0.1043126152616821,0.1580499122580707
DeNICE,denice_eval_5seed_summary.csv,4,18,18,2.9383929755568947,79.21832699159754,0.2241366759403563,0.1324006955591016,0.1849046675038847,0.1030257699056678,0.1561436362546868
DeNICE,denice_eval_5seed_summary.csv,4,19,19,2.992839361664259,77.87952876330856,0.231375165255155,0.1370507010757733,0.1891630079615027,0.1085001397655952,0.1657324200655551
DeNICE,denice_eval_5seed_summary.csv,5,0,0,3.944815313530988,79.47913344012056,0.2246905161573352,0.1125700297768743,0.1621698265628994,0.0904399374771249,0.1554591242674101
DeNICE,denice_eval_5seed_summary.csv,5,1,1,3.6751163660366046,78.25932904373579,0.2310205505950369,0.1133166870443325,0.1627088680111967,0.0918750651620781,0.1597475625535261
DeNICE,denice_eval_5seed_summary.csv,5,2,2,3.625802780741752,78.72317219226885,0.2282755169092192,0.1119688193958472,0.1611161716677818,0.0904941706768998,0.1565382868515467
DeNICE,denice_eval_5seed_summary.csv,5,3,3,3.3417385322800675,79.12626860545681,0.2250183318589796,0.1117345379176856,0.160864763928739,0.0915015646758163,0.1570731852116032
DeNICE,denice_eval_5seed_summary.csv,5,4,4,3.1583218590907767,78.27744256068249,0.2294431214808437,0.1115781332605011,0.1613352390231751,0.0916768308440472,0.1576524080731297
DeNICE,denice_eval_5seed_summary.csv,5,5,5,3.072443493799068,78.84153689295508,0.227657751500749,0.1122201175357916,0.1630293043066124,0.0923805866239688,0.1567104900947705
DeNICE,denice_eval_5seed_summary.csv,5,6,6,2.9002734612733585,79.46420744614326,0.2247400804229093,0.108263435754957,0.1598549045118693,0.0890252449585281,0.1526387844136421
DeNICE,denice_eval_5seed_summary.csv,5,7,7,2.9752792932361025,78.76769889649219,0.2309476486253822,0.1099204168638465,0.1608331934941613,0.0915353304797167,0.1593766732495792
DeNICE,denice_eval_5seed_summary.csv,5,8,8,2.974784164608938,79.23999714557357,0.2239267690314631,0.1096655575104415,0.1575082312278785,0.0896629465849095,0.1545658328039194
DeNICE,denice_eval_5seed_summary.csv,5,9,9,2.9405809882676155,79.67868228911657,0.2200483974920248,0.1084642829245988,0.157209928004071,0.0884167250804994,0.1499940407311966
DeNICE,denice_eval_5seed_summary.csv,5,10,10,2.8463816583976667,80.12963866196807,0.2199712897031302,0.1098478645057774,0.1582754664159447,0.0883347478705372,0.1480729303012833
DeNICE,denice_eval_5seed_summary.csv,5,11,11,2.994416719197773,80.14747898213395,0.2216921982879765,0.1091212163115864,0.1595778447642693,0.0886014868622338,0.1492896974436761
DeNICE,denice_eval_5seed_summary.csv,5,12,12,2.8865941295460744,80.660517392338,0.2173401481335808,0.1060641140282951,0.1573847915644249,0.0862190201239374,0.146075899550616
DeNICE,denice_eval_5seed_summary.csv,5,13,13,2.827792073151797,80.14856734130001,0.2212967229563621,0.1072791378237395,0.1599782189612733,0.0894502044300447,0.150388127669467
DeNICE,denice_eval_5seed_summary.csv,5,14,14,3.0239565485220923,79.3615923896963,0.226407647787851,0.110973745023856,0.1620247724704722,0.0919194759067854,0.1580295554135363
DeNICE,denice_eval_5seed_summary.csv,5,15,15,3.059341818662844,79.3787423669791,0.2254753813443149,0.1095038041013899,0.1604991859796086,0.0909322121104123,0.1568288463055111
DeNICE,denice_eval_5seed_summary.csv,5,16,16,3.0359536904221174,79.59925457264237,0.2248466119794744,0.1094386345259332,0.1596531799111965,0.0902357252859401,0.1561551327872656
