algorithm,source_file,task_id,round_raw,round_id,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,test_loss
IL_DER,results (2).zip::results_il_der_eval/all_round_metrics.csv,3,19,19,0.6160724729690066,0.4463886182023174,0.4466653952423604,0.367488122158114,0.5582766283096735,251672.0370639171
IL_DER,results (2).zip::results_il_der_eval/all_round_metrics.csv,4,19,19,0.0285962044471737,0.0034405429696756,0.1166780097761756,0.0066163231374266,0.0022445276201867,1896860.3578219889
IL_DER,results (3).zip::results_il_der_eval/all_round_metrics.csv,5,19,19,0.0263674691359715,0.021144448473282,0.109414933913983,0.0209017590801068,0.008468866403383,458839.2493016018
IL_EWC,IL_EWC (1).csv,0,19,19,0.9906173189062,0.1677777910229438,0.101413268938391,0.110208577683451,0.9880796984655436,0.4003396207160549
IL_EWC,IL_EWC (1).csv,1,19,19,0.931031101298566,0.1598210752520739,0.1744171389522758,0.141269465662516,0.9099731785495422,3.951111888557495
IL_EWC,IL_EWC (1).csv,2,19,19,0.408895706641254,0.1109238528758273,0.1603885076589052,0.0961106024385171,0.3409408270524158,53.50125365283128
IL_EWC,IL_EWC (1).csv,3,19,19,0.2172946815770119,0.0572869572054473,0.1751438104100909,0.0806945418353382,0.0977149070435686,120.52652684835886
IL_EWC,IL_EWC (1).csv,4,19,19,0.0289752117853739,0.0110115738267695,0.1016880693846676,0.0181821574918419,0.004160048016056,74.45950560034292
IL_EWC,IL_EWC (1).csv,5,19,19,0.02679506412481,0.0081746715005053,0.0597138316742454,0.0126515483683021,0.0072829120088748,99.01578102242368
IL_LWF,IL_LWF (1).csv,0,19,19,0.983846362258385,0.0873915667004723,0.0817906370215493,0.0842283177970759,0.9785914450446552,0.273840333133691
IL_LWF,IL_LWF (1).csv,1,19,19,0.9917951723257714,0.2101384335595344,0.2104381104394486,0.2094919470141075,0.9912972468736108,0.9217466651390714
IL_LWF,IL_LWF (1).csv,2,19,19,0.6162528016262628,0.205748345409279,0.1997940595796591,0.1411330214665657,0.5211620844486933,1.5981126375096306
IL_LWF,IL_LWF (1).csv,3,19,19,0.2059045973290141,0.102638631342803,0.1688367444369635,0.0895208191983366,0.0866186053966232,2.2551454226025145
IL_LWF,IL_LWF (1).csv,4,19,19,0.1278034841352545,0.0369126440070156,0.1438661750474354,0.0539200685888641,0.0475289735127927,2.818714106350601
IL_LWF,IL_LWF (1).csv,5,19,19,0.0267629297135276,0.0021495694129448,0.0586335722269844,0.0040796636859621,0.0023786391317683,3.153526754704063
IL_NICE,IL_NICE (1).csv,0,19,19,0.9901852859838268,0.1463769006271277,0.0930863480463509,0.096721211637458,0.9859472024764222,0.0506200609093766
IL_NICE,IL_NICE (1).csv,1,19,19,0.9858758487320723,0.2195647740057012,0.2371185411775461,0.2232346556522609,0.9870072252492524,0.522123871530011
IL_NICE,IL_NICE (1).csv,2,19,19,0.8623972202618663,0.3036351815940082,0.3391665812650562,0.2990849214027067,0.8418759645037935,6.380132284067958
IL_NICE,IL_NICE (1).csv,3,19,19,0.5198219054670614,0.3724345346279348,0.3724212653280958,0.3160804959591928,0.4681648601420329,16.562140956642388
IL_NICE,IL_NICE (1).csv,4,19,19,0.5520980560738259,0.3900178572402997,0.4256113415485504,0.3481386907053437,0.4830398808548041,17.83801053639654
IL_NICE,IL_NICE (1).csv,5,19,19,0.5582727561425408,0.4536485510079029,0.4295642405806616,0.3595710962851125,0.4973214821733269,17.70616024878365
Plexus,100 Clients(Plexus).csv,0,19,19,0.989582,0.655349,0.508862,0.519028,0.984945474,0.058197
Plexus,100 Clients(Plexus).csv,1,39,19,0.930515,0.369394,0.476962,0.397667,0.904238162,1.165033
Plexus,100 Clients(Plexus).csv,2,59,19,0.408771,0.118431,0.297513,0.154202,0.269185539,3.930286
Plexus,100 Clients(Plexus).csv,3,79,19,0.215054,0.079402,0.242522,0.113679,0.087595445,5.271339
Plexus,100 Clients(Plexus).csv,4,99,19,0.047506,0.026135,0.112583,0.036255,0.022360648,1.714083
Plexus,100 Clients(Plexus).csv,5,119,19,0.007944,0.028011,0.029412,0.000465,0.000127703,1.249517
