task_id,round_raw,train_loss,test_loss,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,algorithm,source_file,round_id
2,2,0.187514959,8.900789508,0.408606627,0.165099373,0.286209225,0.162246652,0.270552726,FedAvgEWC,100 Clients(FedavgEWC).csv,2
2,3,0.183167714,9.052795954,0.408633167,0.160537056,0.28707471,0.161804824,0.266270218,FedAvgEWC,100 Clients(FedavgEWC).csv,3
2,4,0.039805663,9.035140125,0.408649743,0.132983063,0.29185757,0.164273797,0.274873517,FedAvgEWC,100 Clients(FedavgEWC).csv,4
2,5,0.161750551,9.794081597,0.408686741,0.139513488,0.291332084,0.165573861,0.274909806,FedAvgEWC,100 Clients(FedavgEWC).csv,5
2,6,0.189766061,9.832408699,0.408674901,0.150837553,0.290229729,0.16664991,0.274143132,FedAvgEWC,100 Clients(FedavgEWC).csv,6
2,7,0.1999357,9.870248635,0.408681018,0.134281779,0.29136046,0.16344919,0.270653734,FedAvgEWC,100 Clients(FedavgEWC).csv,7
2,8,0.028846,9.77107398,0.408671251,0.124491904,0.293378424,0.160233611,0.273443585,FedAvgEWC,100 Clients(FedavgEWC).csv,8
2,9,0.185891611,10.30374673,0.408711801,0.131392862,0.292357254,0.16330035,0.274527993,FedAvgEWC,100 Clients(FedavgEWC).csv,9
2,10,0.220557489,10.99302364,0.408681808,0.130451967,0.292073279,0.162911225,0.274411383,FedAvgEWC,100 Clients(FedavgEWC).csv,10
2,11,0.029780112,10.75418891,0.408680427,0.121422446,0.293758219,0.157252306,0.273542039,FedAvgEWC,100 Clients(FedavgEWC).csv,11
2,12,0.244200511,11.78619529,0.40865655,0.136638841,0.291748696,0.169005062,0.274758682,FedAvgEWC,100 Clients(FedavgEWC).csv,12
2,13,0.252345722,11.17034126,0.40868309,0.12889681,0.292111708,0.162270437,0.273820473,FedAvgEWC,100 Clients(FedavgEWC).csv,13
2,14,0.231848698,11.83909439,0.408681216,0.125769813,0.292762594,0.16070876,0.274053679,FedAvgEWC,100 Clients(FedavgEWC).csv,14
2,15,0.036486433,11.19287103,0.408689701,0.11951904,0.294333279,0.155433552,0.273008641,FedAvgEWC,100 Clients(FedavgEWC).csv,15
2,16,0.151107464,11.498522,0.408664542,0.133082594,0.292828649,0.167797219,0.274951234,FedAvgEWC,100 Clients(FedavgEWC).csv,16
2,17,0.255875794,11.51544297,0.408698284,0.122973261,0.293363542,0.158840981,0.273403044,FedAvgEWC,100 Clients(FedavgEWC).csv,17
2,18,0.027355338,11.14395543,0.408710814,0.118209782,0.294707411,0.153924161,0.27291753,FedAvgEWC,100 Clients(FedavgEWC).csv,18
2,19,0.277715761,12.52175222,0.408715353,0.122045529,0.293898798,0.158012113,0.274302733,FedAvgEWC,100 Clients(FedavgEWC).csv,19
3,0,1.128399818,23.28648422,0.194976693,0.089936695,0.17388594,0.075669802,0.073465051,FedAvgEWC,100 Clients(FedavgEWC).csv,0
3,1,0.118375618,23.33928287,0.201566275,0.112283636,0.200584765,0.098513017,0.082296856,FedAvgEWC,100 Clients(FedavgEWC).csv,1
3,2,0.236280433,23.74650662,0.200465143,0.119294451,0.18989146,0.094507922,0.077958481,FedAvgEWC,100 Clients(FedavgEWC).csv,2
3,3,0.096245675,22.95828196,0.201237347,0.105877754,0.200578404,0.091633047,0.077784083,FedAvgEWC,100 Clients(FedavgEWC).csv,3
3,4,0.218888586,23.60925576,0.200516299,0.073821773,0.191311453,0.093606894,0.077320515,FedAvgEWC,100 Clients(FedavgEWC).csv,4
3,5,0.239860544,23.14048247,0.200526176,0.078370994,0.190276998,0.095136948,0.079238355,FedAvgEWC,100 Clients(FedavgEWC).csv,5
3,6,0.091340843,22.56214241,0.200960193,0.108749719,0.201528042,0.093972351,0.076981607,FedAvgEWC,100 Clients(FedavgEWC).csv,6
3,7,0.089211844,22.65407829,0.200948388,0.062628338,0.203326361,0.090678317,0.076108517,FedAvgEWC,100 Clients(FedavgEWC).csv,7
3,8,0.226980718,22.97759844,0.200603875,0.072118669,0.19296614,0.093496621,0.07794817,FedAvgEWC,100 Clients(FedavgEWC).csv,8
3,9,0.0888603,23.01069966,0.201011427,0.100875407,0.204548231,0.09313191,0.076488803,FedAvgEWC,100 Clients(FedavgEWC).csv,9
3,10,0.234565223,23.31411826,0.200636204,0.107916343,0.193582214,0.094368575,0.078244056,FedAvgEWC,100 Clients(FedavgEWC).csv,10
3,11,0.088042443,23.07157545,0.201150389,0.102387191,0.205817504,0.096541902,0.077164669,FedAvgEWC,100 Clients(FedavgEWC).csv,11
3,12,0.241538651,23.46176754,0.200744072,0.102869861,0.19529883,0.095360599,0.077598627,FedAvgEWC,100 Clients(FedavgEWC).csv,12
3,13,0.088004534,23.12183353,0.201259183,0.084749544,0.207598571,0.097795401,0.07649581,FedAvgEWC,100 Clients(FedavgEWC).csv,13
3,14,0.087793678,23.37144325,0.201483097,0.080840261,0.209339605,0.097824842,0.07670094,FedAvgEWC,100 Clients(FedavgEWC).csv,14
3,15,0.245040856,23.4939458,0.20114684,0.080261433,0.200899473,0.099439818,0.077988775,FedAvgEWC,100 Clients(FedavgEWC).csv,15
3,16,0.086739062,23.44750571,0.201640038,0.080953541,0.211650432,0.099576033,0.076520487,FedAvgEWC,100 Clients(FedavgEWC).csv,16
3,17,0.087406755,23.55176671,0.201690268,0.076812596,0.211839232,0.099116274,0.07708503,FedAvgEWC,100 Clients(FedavgEWC).csv,17
3,18,0.255754407,24.19021067,0.201177163,0.084152222,0.201827925,0.10038401,0.076960873,FedAvgEWC,100 Clients(FedavgEWC).csv,18
3,19,0.085503966,24.55534698,0.201645362,0.08883558,0.211526213,0.101622064,0.076530429,FedAvgEWC,100 Clients(FedavgEWC).csv,19
4,0,1.753439877,27.55166687,0.02670826,0.007900738,0.083620811,0.010861813,0.002604538,FedAvgEWC,100 Clients(FedavgEWC).csv,0
4,1,0.917842873,28.0642441,0.027158634,0.022641425,0.084241526,0.010661113,0.002671448,FedAvgEWC,100 Clients(FedavgEWC).csv,1
4,2,0.855082141,27.57542211,0.027621476,0.007101023,0.09341729,0.012459852,0.002885972,FedAvgEWC,100 Clients(FedavgEWC).csv,2
4,3,0.835585778,27.40317071,0.027642154,0.007080379,0.093695253,0.012426989,0.002883629,FedAvgEWC,100 Clients(FedavgEWC).csv,3
4,4,0.761480326,28.36871165,0.027271508,0.014997184,0.085933513,0.011032609,0.002691288,FedAvgEWC,100 Clients(FedavgEWC).csv,4
4,5,0.786718709,28.29886052,0.027724047,0.007282554,0.09504754,0.012775059,0.002915912,FedAvgEWC,100 Clients(FedavgEWC).csv,5
4,6,0.730496047,28.76483867,0.027390577,0.015017348,0.088117911,0.011521374,0.002731876,FedAvgEWC,100 Clients(FedavgEWC).csv,6
4,7,0.783999753,28.90372864,0.027769062,0.007395084,0.095762356,0.012959047,0.002934333,FedAvgEWC,100 Clients(FedavgEWC).csv,7
4,8,0.729462581,29.23809077,0.027438355,0.014678282,0.088829353,0.012389656,0.002796,FedAvgEWC,100 Clients(FedavgEWC).csv,8
4,9,0.73203906,29.49913251,0.027485833,0.014271555,0.089663178,0.012071542,0.002793721,FedAvgEWC,100 Clients(FedavgEWC).csv,9
4,10,0.761628586,28.85675155,0.027873873,0.008632375,0.096255471,0.013143394,0.003025702,FedAvgEWC,100 Clients(FedavgEWC).csv,10
4,11,0.720743935,29.3011079,0.027503376,0.013317241,0.08995884,0.012452061,0.002818145,FedAvgEWC,100 Clients(FedavgEWC).csv,11
4,12,0.760244041,28.45845941,0.027909482,0.009002635,0.097552716,0.013547064,0.003117726,FedAvgEWC,100 Clients(FedavgEWC).csv,12
4,13,0.716105491,28.76919834,0.027501137,0.014912474,0.089916193,0.012566142,0.002817782,FedAvgEWC,100 Clients(FedavgEWC).csv,13
4,14,0.763675395,27.37509428,0.027915977,0.009191422,0.098135722,0.013735591,0.00317671,FedAvgEWC,100 Clients(FedavgEWC).csv,14
4,15,0.705702863,28.45574176,0.027563023,0.020794064,0.091038649,0.013417421,0.00288006,FedAvgEWC,100 Clients(FedavgEWC).csv,15
4,16,0.714965492,29.05509011,0.027600573,0.013724156,0.091650725,0.012880813,0.002862254,FedAvgEWC,100 Clients(FedavgEWC).csv,16
4,17,0.741616094,28.05355476,0.028099247,0.009924395,0.097291481,0.013665264,0.003399413,FedAvgEWC,100 Clients(FedavgEWC).csv,17
4,18,0.716827504,27.92380599,0.027630956,0.015246835,0.091974643,0.01322934,0.002905262,FedAvgEWC,100 Clients(FedavgEWC).csv,18
4,19,0.710941485,28.19719017,0.027618564,0.01520469,0.091604051,0.012868359,0.002875924,FedAvgEWC,100 Clients(FedavgEWC).csv,19
5,0,1.392543737,45.43690548,0.02681587,0.00580017,0.058718327,0.009833949,0.006140447,FedAvgEWC,100 Clients(FedavgEWC).csv,0
5,1,2.078358067,52.42158127,0.026791584,0.006810063,0.058680615,0.011216975,0.007034348,FedAvgEWC,100 Clients(FedavgEWC).csv,1
5,2,2.410819495,45.49762085,0.026824163,0.005532857,0.058731204,0.00945428,0.005894848,FedAvgEWC,100 Clients(FedavgEWC).csv,2
5,3,2.714201266,48.45269655,0.026817647,0.005751062,0.058721086,0.009764666,0.006095637,FedAvgEWC,100 Clients(FedavgEWC).csv,3
5,4,2.480004921,48.64984949,0.026816018,0.00604312,0.058718557,0.010174561,0.006360688,FedAvgEWC,100 Clients(FedavgEWC).csv,4
5,5,2.695248751,48.96206875,0.026815722,0.006180586,0.058718097,0.010365176,0.00648391,FedAvgEWC,100 Clients(FedavgEWC).csv,5
5,6,2.641207256,48.31441895,0.026817277,0.006249605,0.058720511,0.010460475,0.006545506,FedAvgEWC,100 Clients(FedavgEWC).csv,6
5,7,2.973208344,49.23838631,0.026805948,0.007167364,0.05870292,0.011690121,0.007339929,FedAvgEWC,100 Clients(FedavgEWC).csv,7
5,8,3.328332183,48.2738717,0.026810391,0.006940552,0.058709819,0.011392291,0.007147571,FedAvgEWC,100 Clients(FedavgEWC).csv,8
5,9,3.092782639,50.69270063,0.02677337,0.008943413,0.058652331,0.013897653,0.008764846,FedAvgEWC,100 Clients(FedavgEWC).csv,9
5,10,3.488238275,49.18570248,0.0267884,0.00892958,0.058675671,0.013883686,0.008755821,FedAvgEWC,100 Clients(FedavgEWC).csv,10
5,11,3.16303055,50.43642186,0.026776183,0.009200492,0.0586567,0.014201184,0.008960671,FedAvgEWC,100 Clients(FedavgEWC).csv,11
5,12,2.790210357,50.32278004,0.026772111,0.009337308,0.058650376,0.014360105,0.009063199,FedAvgEWC,100 Clients(FedavgEWC).csv,12
5,13,3.12584423,49.95112417,0.026767817,0.009561955,0.058643708,0.014618958,0.009230185,FedAvgEWC,100 Clients(FedavgEWC).csv,13
5,14,3.267426516,50.83332343,0.026742642,0.011549901,0.058604616,0.016784838,0.010627001,FedAvgEWC,100 Clients(FedavgEWC).csv,14
5,15,2.902731216,50.97093818,0.026721318,0.014351588,0.058571503,0.019498504,0.012376396,FedAvgEWC,100 Clients(FedavgEWC).csv,15
5,16,2.980883459,50.02896254,0.026744271,0.014439266,0.058607146,0.019585571,0.012432502,FedAvgEWC,100 Clients(FedavgEWC).csv,16
5,17,3.213352742,50.5904833,0.026723539,0.015534283,0.058574952,0.020544209,0.013050375,FedAvgEWC,100 Clients(FedavgEWC).csv,17
5,18,2.931530372,50.9510883,0.026684593,0.016230066,0.058514475,0.021118194,0.013420316,FedAvgEWC,100 Clients(FedavgEWC).csv,18
5,19,2.866429744,50.81039254,0.026702215,0.016047923,0.058541839,0.020972723,0.013326556,FedAvgEWC,100 Clients(FedavgEWC).csv,19
0,0,1.88282233,3.555737254,0.0,0.0,0.0,0.0,0.0,FedAvgLWF,100 Clients(FedavgLWF).csv,0
0,1,1.824767221,3.504608919,2.68495e-05,0.071428571,2.49107e-06,4.98197e-06,5.36971e-05,FedAvgLWF,100 Clients(FedavgLWF).csv,1
0,2,1.76872655,3.422268932,0.003590511,0.076197876,0.000358749,0.000714136,0.007147371,FedAvgLWF,100 Clients(FedavgLWF).csv,2
0,3,1.715237423,3.336027882,0.051809779,0.076397587,0.005176624,0.00969624,0.097043956,FedAvgLWF,100 Clients(FedavgLWF).csv,3
0,4,1.666187644,3.252150063,0.256381029,0.076054908,0.025616556,0.038324713,0.383569485,FedAvgLWF,100 Clients(FedavgLWF).csv,4
0,5,1.619072367,3.169426512,0.517538828,0.082056611,0.056019587,0.066583199,0.615131106,FedAvgLWF,100 Clients(FedavgLWF).csv,5
0,6,1.575317868,3.086374342,0.63755855,0.081268956,0.069010796,0.074639934,0.689563522,FedAvgLWF,100 Clients(FedavgLWF).csv,6
0,7,1.535869196,3.002876056,0.723052252,0.075092221,0.07826483,0.076645709,0.708093943,FedAvgLWF,100 Clients(FedavgLWF).csv,7
0,8,1.500189919,2.918362094,0.742252088,0.072518655,0.087646979,0.07936835,0.672143227,FedAvgLWF,100 Clients(FedavgLWF).csv,8
0,9,1.466902453,2.833073643,0.756323668,0.085777086,0.10915494,0.09606418,0.665619105,FedAvgLWF,100 Clients(FedavgLWF).csv,9
0,10,1.438238194,2.747901153,0.769060097,0.096310939,0.124867237,0.108745637,0.669766805,FedAvgLWF,100 Clients(FedavgLWF).csv,10
0,11,1.416018093,2.664469578,0.769877786,0.096235193,0.125,0.108747609,0.669778947,FedAvgLWF,100 Clients(FedavgLWF).csv,11
0,12,1.394526867,2.578459583,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,FedAvgLWF,100 Clients(FedavgLWF).csv,12
0,13,1.378695108,2.496605849,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,FedAvgLWF,100 Clients(FedavgLWF).csv,13
0,14,1.365889441,2.408652874,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,FedAvgLWF,100 Clients(FedavgLWF).csv,14
0,15,1.35787886,2.323018456,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,FedAvgLWF,100 Clients(FedavgLWF).csv,15
0,16,1.354555873,2.239487605,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,FedAvgLWF,100 Clients(FedavgLWF).csv,16
0,17,1.352145227,2.153491039,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,FedAvgLWF,100 Clients(FedavgLWF).csv,17
0,18,1.355034339,2.075998458,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,FedAvgLWF,100 Clients(FedavgLWF).csv,18
0,19,1.358288421,1.996629215,0.769877786,0.128312964,0.166666667,0.144996412,0.6697771,FedAvgLWF,100 Clients(FedavgLWF).csv,19
1,0,2.685729563,2.932969816,0.385617713,0.089856417,0.163444966,0.093962154,0.346766067,FedAvgLWF,100 Clients(FedavgLWF).csv,0
1,1,1.79191678,2.427468632,0.761813087,0.174521986,0.214207882,0.179189574,0.730370653,FedAvgLWF,100 Clients(FedavgLWF).csv,1
1,2,1.330207653,1.88725552,0.950453793,0.264045598,0.272234983,0.267898298,0.934305432,FedAvgLWF,100 Clients(FedavgLWF).csv,2
1,3,1.060419101,1.577141596,0.950045172,0.266151508,0.269758713,0.267783895,0.932801958,FedAvgLWF,100 Clients(FedavgLWF).csv,3
1,4,0.983045138,1.455270387,0.949909856,0.266382564,0.268615129,0.267273039,0.932460692,FedAvgLWF,100 Clients(FedavgLWF).csv,4
1,5,0.901485321,1.360368541,0.950256833,0.312496975,0.268407158,0.267098109,0.932622169,FedAvgLWF,100 Clients(FedavgLWF).csv,5
1,6,0.847940893,1.316325296,0.950740296,0.275221237,0.255148911,0.254835349,0.933919958,FedAvgLWF,100 Clients(FedavgLWF).csv,6
1,7,0.753177468,1.223711489,0.960511782,0.24155797,0.240983329,0.241126725,0.953177796,FedAvgLWF,100 Clients(FedavgLWF).csv,7
1,8,0.738187699,1.226430772,0.970268066,0.26225708,0.274391915,0.26643725,0.964267757,FedAvgLWF,100 Clients(FedavgLWF).csv,8
1,9,0.717405659,1.183631208,0.969873645,0.262159037,0.274233064,0.265854424,0.964132135,FedAvgLWF,100 Clients(FedavgLWF).csv,9
1,10,0.710126709,1.172365344,0.968035352,0.249151522,0.260276312,0.251774611,0.96264541,FedAvgLWF,100 Clients(FedavgLWF).csv,10
1,11,0.700443331,1.181412445,0.966884832,0.248409815,0.259228528,0.250291863,0.961787841,FedAvgLWF,100 Clients(FedavgLWF).csv,11
1,12,0.689197063,1.150926174,0.965482056,0.236938015,0.246863874,0.237972143,0.960538538,FedAvgLWF,100 Clients(FedavgLWF).csv,12
1,13,0.683695845,1.14994629,0.96400945,0.236241392,0.245663139,0.236462863,0.959180683,FedAvgLWF,100 Clients(FedavgLWF).csv,13
1,14,0.716383253,1.180109014,0.961749172,0.235599976,0.243805234,0.23472646,0.956430775,FedAvgLWF,100 Clients(FedavgLWF).csv,14
1,15,0.678290517,1.14631934,0.959535335,0.245580232,0.252855275,0.243227588,0.953915887,FedAvgLWF,100 Clients(FedavgLWF).csv,15
1,16,0.672147969,1.162608841,0.958376295,0.23462378,0.240859314,0.231557282,0.952927706,FedAvgLWF,100 Clients(FedavgLWF).csv,16
1,17,0.70247299,1.166730597,0.958114851,0.234709107,0.240602585,0.231491709,0.952462319,FedAvgLWF,100 Clients(FedavgLWF).csv,17
1,18,0.696085206,1.168826185,0.956343214,0.24500101,0.250036884,0.240446247,0.950594468,FedAvgLWF,100 Clients(FedavgLWF).csv,18
1,19,0.685893,1.157711668,0.954605489,0.244471407,0.248544074,0.238739518,0.948516985,FedAvgLWF,100 Clients(FedavgLWF).csv,19
2,0,2.7090324,1.993715921,0.707213295,0.242100686,0.250821962,0.213636835,0.619902886,FedAvgLWF,100 Clients(FedavgLWF).csv,0
2,1,2.257316026,1.936506145,0.827306262,0.310078914,0.317353253,0.284415447,0.785910171,FedAvgLWF,100 Clients(FedavgLWF).csv,1
2,2,1.989328841,2.178187517,0.834487858,0.378449495,0.362475658,0.324275667,0.782792117,FedAvgLWF,100 Clients(FedavgLWF).csv,2
2,3,1.751576603,1.587449452,0.835318788,0.330579707,0.344756397,0.308452277,0.784184939,FedAvgLWF,100 Clients(FedavgLWF).csv,3
2,4,1.596022738,1.573381063,0.837766193,0.311068418,0.314195529,0.282313381,0.785457846,FedAvgLWF,100 Clients(FedavgLWF).csv,4
2,5,1.474128357,1.547868029,0.836350297,0.312883259,0.313884764,0.282291379,0.784132685,FedAvgLWF,100 Clients(FedavgLWF).csv,5
2,6,1.332335409,1.590100847,0.83293127,0.263743526,0.265013199,0.238148581,0.780730461,FedAvgLWF,100 Clients(FedavgLWF).csv,6
2,7,1.320294832,1.5753288,0.821665962,0.252603857,0.253159566,0.227487123,0.770198182,FedAvgLWF,100 Clients(FedavgLWF).csv,7
2,8,1.354944445,1.6958131,0.796440005,0.257792732,0.238895408,0.214670121,0.747033972,FedAvgLWF,100 Clients(FedavgLWF).csv,8
2,9,1.262971604,1.618069478,0.818610109,0.214643272,0.245492165,0.224670979,0.769432762,FedAvgLWF,100 Clients(FedavgLWF).csv,9
2,10,1.270987292,1.587742687,0.818501976,0.229768481,0.257649616,0.2380258,0.771865024,FedAvgLWF,100 Clients(FedavgLWF).csv,10
2,11,1.181972079,1.64341437,0.811725387,0.275408178,0.274214739,0.248451831,0.766303259,FedAvgLWF,100 Clients(FedavgLWF).csv,11
2,12,1.162105539,1.641954201,0.759586256,0.270865544,0.267243511,0.239634024,0.71510998,FedAvgLWF,100 Clients(FedavgLWF).csv,12
2,13,1.207152857,1.602015803,0.792521551,0.274975633,0.274035014,0.247502668,0.748935906,FedAvgLWF,100 Clients(FedavgLWF).csv,13
2,14,1.25481852,1.932684097,0.616489294,0.27063512,0.239249602,0.202368498,0.522569659,FedAvgLWF,100 Clients(FedavgLWF).csv,14
