algorithm,source_file,rows,missing_task_rounds,final_avg_accuracy,final_avg_f1_weighted,final_avg_f1_macro,final_avg_recall_macro,task5_final_accuracy,task5_final_f1_weighted,best_avg_f1_weighted_by_task
FedAvgLWF,100 Clients(FedavgLWF).csv,120,0,0.4809751891666667,0.38986382466666664,0.11751578033333332,0.1692574465,0.178417211,0.065808801,0.5281734370000001
Plexus,100 Clients(Plexus).csv,120,0,0.43322866666666665,0.37807549516666655,0.20354933333333333,0.2779756666666667,0.007944,0.000127703,0.46528433883333337
FedAvgEWC,100 Clients(FedavgEWC).csv,120,0,0.4307968906666666,0.37539302950000003,0.2074525121666667,0.2741606325,0.026702215,0.013326556,0.3908558178333333
